country_code,year,NE.CON.PRVT.PC.KD,NY.GDP.PCAP.KD
AND,1965,NA,NA
AND,1966,NA,NA
AND,1967,NA,NA
AND,1968,NA,NA
AND,1969,NA,NA
AND,1970,NA,43258.7266666862
AND,1971,NA,42165.9656650148
AND,1972,NA,42586.4587148121
AND,1973,NA,42965.7664924277
AND,1974,NA,42570.1823319721
AND,1975,NA,40266.0785099297
AND,1976,NA,39247.7658783569
AND,1977,NA,38203.4908956461
AND,1978,NA,36828.6905599556
AND,1979,NA,35151.9041186742
AND,1980,NA,34446.224319072
AND,1981,NA,33120.8120809464
AND,1982,NA,32134.025522123
AND,1983,NA,31219.4315386345
AND,1984,NA,30459.010326192
AND,1985,NA,30007.9227830392
AND,1986,NA,29763.9691533828
AND,1987,NA,30076.2393750304
AND,1988,NA,30323.1791995902
AND,1989,NA,30565.0033602497
AND,1990,NA,30577.9386605777
AND,1991,NA,30301.5096753909
AND,1992,NA,29595.9047267703
AND,1993,NA,28363.2263879503
AND,1994,NA,28144.2627127457
AND,1995,NA,28051.2787074328
AND,1996,NA,28797.7389234849
AND,1997,NA,31149.2320440578
AND,1998,NA,31895.8542125587
AND,1999,NA,32966.1060275923
AND,2000,NA,33901.0424445519
AND,2001,NA,35722.3871335863
AND,2002,NA,35749.7870466881
AND,2003,NA,37250.1473703805
AND,2004,NA,38696.3410489141
AND,2005,NA,39306.9848739107
AND,2006,NA,40994.2849318779
AND,2007,NA,42724.3976569111
AND,2008,NA,41470.273367003
AND,2009,NA,40442.6246189784
AND,2010,NA,40937.1116168449
AND,2011,NA,41486.0348462446
AND,2012,NA,39174.7418302392
AND,2013,NA,37597.5561335484
AND,2014,NA,38402.496869184
AND,2015,NA,38885.3760140905
AND,2016,NA,39886.4818035358
AND,2017,NA,39321.4582703477
AND,2018,NA,39319.9364136952
AND,2019,NA,39413.6344732996
AND,2020,NA,34394.2775534697
AND,2021,NA,36839.8762185682
ARB,1960,NA,NA
ARB,1961,NA,NA
ARB,1962,NA,NA
ARB,1963,NA,NA
ARB,1964,NA,NA
ARB,1965,NA,NA
ARB,1966,NA,NA
ARB,1967,NA,NA
ARB,1968,NA,NA
ARB,1969,NA,NA
ARB,1970,NA,NA
ARB,1971,NA,NA
ARB,1972,NA,NA
ARB,1973,NA,NA
ARB,1974,NA,NA
ARB,1975,NA,4003.87382941168
ARB,1976,NA,4475.21198377234
ARB,1977,NA,4675.22332739103
ARB,1978,NA,4505.40216169067
ARB,1979,NA,4839.40410023412
ARB,1980,NA,5099.71049892401
ARB,1981,NA,5108.25219087168
ARB,1982,NA,4538.83857495704
ARB,1983,NA,4122.99012497992
ARB,1984,NA,4049.00078685571
ARB,1985,NA,3848.6161373306
ARB,1986,NA,3900.87655640171
ARB,1987,NA,3785.93799507843
ARB,1988,NA,3899.98912948924
ARB,1989,NA,3884.20322016014
ARB,1990,NA,4221.58689510753
ARB,1991,NA,4230.54165400296
ARB,1992,NA,4342.14507165156
ARB,1993,NA,4361.75376157525
ARB,1994,NA,4385.6967183988
ARB,1995,NA,4410.28277181097
ARB,1996,NA,4509.00419635317
ARB,1997,NA,4614.26933190718
ARB,1998,NA,4740.45366433505
ARB,1999,NA,4719.60106934775
ARB,2000,2326.95085600905,4917.07367624967
ARB,2001,2345.96102963987,4890.85665589179
ARB,2002,2372.22036509175,4817.19850831861
ARB,2003,2413.91398157706,4944.03274473747
ARB,2004,2529.90038133469,5267.70688936451
ARB,2005,2616.09126794441,5431.90439995786
ARB,2006,2748.36048600819,5619.78340505269
ARB,2007,2937.154530189,5723.49519800445
ARB,2008,3102.76389070685,5882.29923309069
ARB,2009,2971.31693054149,5753.68603979529
ARB,2010,2872.56460697197,5883.43122956706
ARB,2011,2936.31822662642,5945.23487535053
ARB,2012,3003.79142742721,6119.28076225207
ARB,2013,3005.84875108589,6136.38689480791
ARB,2014,3123.13226473839,6176.97122200135
ARB,2015,3044.3711796066,6245.78778494805
ARB,2016,3062.50926346384,6331.94548493252
ARB,2017,3102.10409772992,6269.1397621135
ARB,2018,3094.13763238356,6286.80765289945
ARB,2019,3122.740039433,6237.13490852527
ARB,2020,2987.41429122668,5832.43154100136
ARB,2021,3097.09478308213,5946.2687725522
ARE,1960,NA,NA
ARE,1961,NA,NA
ARE,1962,NA,NA
ARE,1963,NA,NA
ARE,1964,NA,NA
ARE,1965,NA,NA
ARE,1966,NA,NA
ARE,1967,NA,NA
ARE,1968,NA,NA
ARE,1969,NA,NA
ARE,1970,NA,NA
ARE,1971,NA,NA
ARE,1972,NA,NA
ARE,1973,NA,NA
ARE,1974,NA,NA
ARE,1975,NA,102025.977473569
ARE,1976,NA,105186.035120806
ARE,1977,NA,110988.242961575
ARE,1978,NA,95880.7656138838
ARE,1979,NA,102768.724250601
ARE,1980,NA,114047.906126606
ARE,1981,NA,110016.898431912
ARE,1982,NA,96677.5348143519
ARE,1983,NA,86901.7312916279
ARE,1984,NA,85503.7952872432
ARE,1985,NA,78175.7224061216
ARE,1986,NA,62446.1260638474
ARE,1987,NA,60166.0397457383
